Approved,Title,CommitCount,Reviews
True,fixes for trial subs,1,[]
True,Draft: Fix/workspace ordering,2,Sundar Shahi
True,refactor: added card details optimistic response after card added,1,[]
True,feat: implemented renew subs and force redirected on billing if cancelled,5,[]
True,Hotfix/sept 15,5,[]
True,Refactor/online offline v3,3,Ritesh  Sainju
True,"Resolve KS-2852 ""Task/hide unimplemented features/""",3,[]
True,WebSocket connection issue on workspace switch fixed,1,Ritesh  Sainju
True,refactor: added skeleton in number settings,1,[]
True,Refactor/notification auto recharge,3,[]
True,Refactor/billing and plan,2,[]
True,Develop,26,[]
True,update cache after mark as read in add contact,1,[]
True,Task/ui fixes 2/ks code,5,[]
True,Refactor/online offline v3,2,Ritesh  Sainju
True,fix: show error toast oncompleted,1,[]
True,Hotfix/support number purchase status,3,[]
True,Task/refactor recent conversation,9,[]
True,ui switch for voicemail transcription,1,Abin Khatiwada
True,Task/refactor data support,2,Sundar Shahi
True,hotfix for qa,3,[]
True,Fix/widget add contact,2,Sundar Shahi
True,Develop,14,[]
True,"Resolve KS-2811 ""Task/no data support ui/""",4,[]
True,Access token added on sending ping,1,Ritesh  Sainju
True,disable call button in topbar if call in progress,1,[]
True,Fix/contact table tags search,2,[]
True,fix double pagination IN SUPPORT,1,[]
True,Develop,30,[]
True,Refactor: Early returned without api call if detail unchanged in team detail update,1,[]
True,Refactor/online offline cache update,9,Ritesh  Sainju
True,Draft: Hotfixes/sept 9,2,[]
True,fix: fixes sep 9 2021,2,[]
True,"Resolve KS-2733 ""Feature/responsive members list 768/""",8,Sundar Shahi
True,Feature/remove pending number,3,[]
True,generate graphql schemas,1,[]
True,Develop,22,[]
True,Feature/permission update,4,Ritesh  Sainju
True,refactor: added filter by ticket number in search,1,[]
True,Fix/contact delete,3,[]
True,Draft: Refactor/online offline,1,Ritesh  Sainju
True,feat: add contact from widdget,1,[]
True,"Resolve KS-2771 ""Feature/members chat responsive ui/""",2,Sundar Shahi
True,Develop,6,[]
True,show team pic in sidebar,1,Sundar Shahi
True,"Resolve KS-2780 ""Task/top notification bar ui/""",5,Sundar Shahi
True,Fix/auto reply custom text,3,Abin Khatiwada
True,Develop,34,[]
True,notes validation fix,1,[]
True,Fix/validation errors,4,[]
True,Fixes/7 sep 2021,2,[]
True,Refactor/online offline,2,Ritesh  Sainju
True,Support/callerid,3,[]
True,Refactor/number purchase,2,[]
True,Fix/edit number name unique check,2,[]
True,Fixes/validation issues,4,Sundar Shahi
True,Hotfix/edit profile by member,2,Ritesh  Sainju
True,Fix/disconnect incomingcall on device destroy,2,Sundar Shahi
True,Develop,19,[]
True,Uat deployment Sept 6,160,[]
True,fixes sep 6 2021,1,[]
True,"Resolve KS-2347 ""Feature/caller id settings/""",4,Sundar Shahi
True,moved setup route,2,[]
True,ui fixes,1,[]
True,API call prevented if data is available locally,1,Ritesh  Sainju
True,fix error message,1,[]
True,Bugfix/custom recordings,2,Ritesh  Sainju
True,QA deployment Sep 3,13,[]
True,Task/responsive screens/ks code,7,Sundar Shahi
True,back to setting on not found,1,[]
True,Bugfix/pinned message search,2,Ritesh  Sainju
True,Develop,22,[]
True,"Resolve KS-2689 ""Bugfix/inviteemailcheck/""",2,[]
True,fix error message in purchase credit and userInvite accept,1,[]
True,support caller id UI,2,[]
True,"Resolve KS-1918 ""Feature/show active members/""",2,Ritesh  Sainju
True,Refactor/routes,2,[]
True,add confirmation modal in caller id settings,1,Sundar Shahi
True,Develop,5,[]
True,Bugfix/contact detail,2,[]
True,upgrade tooltip,1,[]
True,Develop,16,[]
True,Fix/sep 1 2021,2,[]
True,Bugfix/contact detail edit issues,2,[]
True,refactor: rounded total in agents and numbers price,1,[]
True,Task/responsive popups/ks code,2,Sundar Shahi
True,Task/random avatar based on hash,2,[]
True,fix contact edit,1,[]
True,LogScroller Implemented,5,[]
True,clear dnd value on cancle,1,[]
True,QA latest frontend deployment Aug 31,6,[]
True,refactor: added plan remaining days in restore workspace,1,[]
True,Develop,4,[]
True,fix validation on card number,1,[]
True,switch workspace while in call progres,1,[]
True,Develop,57,[]
True,"Resolve KS-2590 ""Task/field validatin/""",4,Abin Khatiwada
True,Bug fix on custom audio player,1,Ritesh  Sainju
True,Hotfix/update,2,Ritesh  Sainju
True,"Resolve KS-2590 ""Task/field validatin/""",2,[]
True,Feature/member to member chat,3,Ritesh  Sainju
True,"Resolve KS-2621 ""Task/caller id ui/""",3,Sundar Shahi
True,"Resolve KS-2590 ""Task/field validatin/""",5,[]
True,fix: unable to change workspace name,1,[]
True,prevent api call if value unchanged in contact edit,1,[]
True,date filter fixes,1,[]
True,tags filter check fixes and workspace restore fixes,1,[]
True,Feature/settings responsive/ks code,2,Sundar Shahi
True,Mvp deployment Aug 27,458,[]
True,Search refactored,1,Ritesh  Sainju
True,Form Validations,16,[]
True,Develop,29,[]
True,Hotfix/padding in settings,1,Sundar Shahi
True,ping triggered on user login,1,Ritesh  Sainju
True,changed fetch policy,1,[]
True,Fixes/27 aug 2021,3,[]
True,Feature/responsive/ks code,10,Sundar Shahi
True,Feature/member to member chat,3,Ritesh  Sainju
True,Feature/support enterprise plan,3,[]
True,uat deployment,63,[]
True,QA deployment 26th Aug 9:11,21,[]
True,Feature/support number port,2,Ritesh  Sainju
True,Develop,40,[]
True,fix: cursor moved to end while updateing number due to auto format,1,[]
True,Hotfixes/allworkspacemembers cache update,3,Sundar Shahi
True,tos and policy link,1,[]
True,added tooltip in information icon,1,[]
True,UAT deployment AUG 23,83,[]
True,Hotfixes/aug 23,3,[]
True,Feature/support dashboard,11,[]
True,Feature/member to member chat,6,Ritesh  Sainju
True,restrict call transfer to agents who are on call,3,[]
True,Hotfix/channels cache update issues,3,[]
True,Prompt to go online added,10,Ritesh  Sainju
True,Draft: Feature/promp to go online,0,[]
True,fixes undefined and null,1,[]
True,Develop,14,[]
True,Bottom scroll on message typing issue fixed,1,Ritesh  Sainju
True,"Resolve KS-2581 ""Bugfix/add contact fixes/""",2,[]
True,Hotfixes/20 aug 2021,3,[]
True,Develop,10,[]
True,support,7,[]
True,Feature/greetings,2,Ritesh  Sainju
True,Feature/greetings,2,Ritesh  Sainju
True,Task/update pin ui dropdown,4,Abin Khatiwada
True,"Resolve KS-2428 ""Feature/mark as read api integration/""",3,[]
True,Fix/duplicate workspaces profile query,2,[]
True,Develop,3,[]
True,Hotfix/number settings path,2,Sundar Shahi
True,Develop,52,[]
True,hide clear all btn in respective filters if filter is not selected,1,[]
True,"Resolve KS-2427 ""Task/ui mark done/""",2,Sundar Shahi
True,fix one device login,1,Ritesh  Sainju
True,Feature/unarchive conversation,7,Sundar Shahi
True,"Resolve KS-2486 ""Feature/responsive individual number/""",3,Sundar Shahi
True,auth context and plan details in workspace,1,[]
True,updated version 0.13.0,1,[]
True,Feature/greetings,3,Ritesh  Sainju
True,Refactor/contact context,3,[]
True,Uat deployment 17 aug 3:11,309,[]
True,Refactor/code cleanup gql,5,[]
True,Refactor/code cleanup gql,2,Sundar Shahi
True,"Resolve KS-1918 ""Feature/show active members/""",3,[]
True,fix un necessary query call,1,[]
True,Refactor/navhelper context,2,[]
True,Refactor/aug 17 2021,2,[]
True,Develop,17,[]
True,number setting context,1,[]
True,clean up code,1,Sundar Shahi
True,"Resolve KS-1918 ""Feature/show active members/""",6,Ritesh  Sainju
True,hide incomplete features related to audio device settings,1,[]
True,Task/number search trial,3,Ritesh  Sainju
True,Develop,37,[]
True,Hotfix/change twilio ttl,4,[]
True,"Resolve KS-2485 ""Feature/responsive number purchase/""",4,Sundar Shahi
True,Refactor/16 aug 2021,6,[]
True,Team members online/offline status updated real time,1,Ritesh  Sainju
True,Develop,37,[]
True,"Resolve KS-1918 ""Feature/show active members/""",3,Ritesh  Sainju
True,"Resolve KS-2484 ""Feature/responsive number list/""",3,Sundar Shahi
True,fix: omited typename from ivrOptions in save,1,Abin Khatiwada
True,port number,2,Ritesh  Sainju
True,Feature/forward call,2,[]
True,bottom loading removed,1,Ritesh  Sainju
True,Develop,44,[]
True,active receipt tab from email redirect link,1,Ritesh  Sainju
True,reset members list in numbers sharing select field,1,Sundar Shahi
True,Api change/auto reply,2,Ritesh  Sainju
True,chore: intercome identity for logged in user,2,[]
True,"refactor: code optimization,  cleanup and console error fixes",3,Ritesh  Sainju
True,Fixes/cache update issues,4,Sundar Shahi
True,"Resolve KS-2483 ""Task/responsive profile settings/""",2,Sundar Shahi
True,device setting,3,[]
True,Api change/auto reply,2,Ritesh  Sainju
True,"Resolve KS-1918 ""Feature/show active members/""",5,Ritesh  Sainju
True,Fixes/11 aug 2021,4,Ritesh  Sainju
True,fix div descendant of p issue,1,Ritesh  Sainju
True,rename animation,1,Sundar Shahi
True,Develop,6,[]
True,Hotfix/aug 11,2,[]
True,"Resolve KS-2459 ""Task/ui functionality ctcwidget/""",2,Sundar Shahi
True,Develop,42,[]
True,reject incoming call if call is inprogress,1,[]
True,"Resolve KS-2370 ""Task/ui click to call setup/""",12,Sundar Shahi
True,"Resolve KS-1918 ""Feature/show active members/""",2,Ritesh  Sainju
True,refactor: memoized  query data,1,Abin Khatiwada
True,"Resolve KS-1918 ""Feature/show active members/""",4,Ritesh  Sainju
True,Fixes/10 aug,2,Tashi Lama
True,Hotfix/console errors warnings,2,[]
True,Refactor/10 aug 2021,6,Ritesh  Sainju
True,handle token twilio token expiry,1,[]
True,add download link,1,Sundar Shahi
True,Develop,11,[]
True,"Resolve KS-2241 ""Task/responsive team contact list 768/""",5,Sundar Shahi
True,Hotfix/handle tagslist error,2,Abin Khatiwada
True,removed unused assets,1,[]
True,Develop,17,[]
True,check micriphone in phone widget for incoming calls,1,Sundar Shahi
True,Hotfix/device settings,2,[]
True,"Resolve KS-1918 ""Feature/show active members/""",8,Ritesh  Sainju
True,"update unseencount batch, change plan pop up",2,Abin Khatiwada
True,Develop,7,[]
True,track number porting event and send to intercom,1,Ritesh  Sainju
True,Feature/plans setup,2,Sundar Shahi
True,update version,1,[]
True,Develop,2,[]
True,fix default value issue,1,[]
True,Develop,45,[]
True,validate ivr Options,1,[]
True,Mutation name changed,1,Ritesh  Sainju
True,show loading on submit,1,[]
True,Feature/plans setup,8,Ritesh  Sainju
True,[HOTFIX]: fix transfer issue,4,[]
True,resolved issue for call transfer,3,[]
True,Feature/call recording transcription,5,[]
True,Develop,11,[]
True,disable audio settings if not supported,1,Sundar Shahi
True,Feature/ivr settings,23,[]
True,"Resolve KS-1918 ""Feature/show active members/""",3,Ritesh  Sainju
True,"Resolve KS-1918 ""Feature/show active members/""",4,Sundar Shahi
True,Develop,11,[]
True,Bug fixes/aug 3,2,Abin Khatiwada
True,Bug fixes/aug 3,2,[]
True,fix: boot intercom on each refresh,1,Ritesh  Sainju
True,"Resolve KS-2365 ""Task/ui ivr message tts/""",2,Sundar Shahi
True,Develop,3,[]
True,Bug fixes/aug 3,2,Sundar Shahi
True,Develop,36,[]
True,Latest mvp build,316,[]
True,Krispcall Client Uat Build,97,[]
True,integrate intercom,1,Ritesh  Sainju
True,disable call hold temporarily for deployment,1,[]
True,"Resolve KS-2211 ""Feature/notification settings/""",3,Abin Khatiwada
True,Feature/plans setup,11,Ritesh  Sainju
True,fix: number already exist error toast on add tag from widgget,1,Ritesh  Sainju
True,Develop,21,[]
True,"Resolve KS-2210 ""Feature/change audio device twilio/""",7,[]
True,"Resolve KS-2264 ""Bug/fix search highlight/""",3,Sundar Shahi
True,fix loading on add number,1,Ritesh  Sainju
True,Feature/greetings v2,4,Ritesh  Sainju
True,Quickfix/stripe unhandled error message,1,Ritesh  Sainju
True,Quickfix/status not updated after purchase,3,Ritesh  Sainju
True,"Resolve KS-2211 ""Feature/notification settings/""",7,[]
True,"Resolve KS-2333 ""Task/dropdown greetings tts/""",3,Abin Khatiwada
True,"Resolve KS-2322 ""Task/fix design greetings/""",2,Abin Khatiwada
True,Develop,33,[]
True,refactor memberNode schema,5,Ritesh  Sainju
True,hot fix member count,1,Ritesh  Sainju
True,Task/call hold endcall subscription,10,[]
True,Bugfix/chat scroll,2,Ritesh  Sainju
True,"Resolve KS-2242 ""Task/responsive error states/""",4,Sundar Shahi
True,Develop,38,[]
True,resolve console error for draggable widget component in strictmode,1,Sundar Shahi
True,Feature/greetings v2,5,Ritesh  Sainju
True,Refactor/number search,2,Ritesh  Sainju
True,Latest UAT build,153,[]
True,show audio input output devices in settings,1,Sundar Shahi
True,"Resolve KS-2209 ""Refactor/twilio migration v2.0/""",8,[]
True,Hot fix on upload modal,1,Ritesh  Sainju
True,Task/restrict member add if no card,3,Ritesh  Sainju
True,"Resolve KS-2240 ""Task/responsive contact team list 992/""",4,Sundar Shahi
True,Feature/greetings v2,7,Ritesh  Sainju
True,Fix/capitalize names,2,Ritesh  Sainju
True,Develop,5,[]
True,Hotfix/july 26,2,Sundar Shahi
True,fix number price in number table,1,Ritesh  Sainju
True,Develop,4,[]
True,quick fix,1,Ritesh  Sainju
True,changed contact id to contact number in payload for conversation search,1,Abin Khatiwada
True,Develop,3,[]
True,Hotfix/call hold,2,[]
True,Develop,2,[]
True,Develop,2,[]
True,resolved issue for multiple addContact api call for tags edit from call widget,1,Sundar Shahi
True,Develop,94,[]
True,Refactor/client contact call hold,2,[]
True,fixed issue for add tags from call widget,1,[]
True,change payload for add pinned. use phone instead of contact id,1,Sundar Shahi
True,Refactor/client contact call hold,4,Sundar Shahi
True,Draft: Develop,94,[]
True,fix for same bg and foreground color,1,[]
True,Refactor/client contact call hold,46,[]
True,Develop,23,[]
True,Hotfix/workaround for same foreground and background,2,[]
True,Hotfix/number delete not reflected on sidebar,2,Ritesh  Sainju
True,Config/translation files,3,[]
True,fix tag count,1,Ritesh  Sainju
True,update patch version,1,[]
True,"Resolve KS-1230 ""Feature/one device one login/""",11,Ritesh  Sainju
True,fix showing wrong toast in tts save change,1,Ritesh  Sainju
True,Fix/member not showint in team add dropdown,3,Ritesh  Sainju
True,"fix row event issue in contact,member tables",2,Sundar Shahi
True,"Draft: Resolve KS-1957 ""Task/create email templates/""",14,Sundar Shahi
True,Develop,2,[]
True,fix nav active highlight,1,Sundar Shahi
True,Develop,36,[]
True,Feature/greetings,11,Ritesh  Sainju
True,Task/call hold api integration,23,[]
True,Refactor/changes in allworkspace member schema,2,Ritesh  Sainju
True,UAT deployment,314,[]
True,no index,1,[]
True,no index,1,[]
True,Refactor/cleanup code and refactor login,9,Ritesh  Sainju
True,removed unused imports,1,Ritesh  Sainju
True,"Resolve KS-2132 ""Task/responsive ui team list/""",4,Sundar Shahi
True,"fix greetings design, disable autoreply select",1,Abin Khatiwada
True,Deploy,5,[]
True,Feature/greetings,2,Sundar Shahi
True,Update package.json version,1,[]
True,Develop,14,[]
True,fix duplication issue in reorder,1,Ritesh  Sainju
True,"Resolve KS-2131 ""Task/responsive ui contact list/""",6,Sundar Shahi
True,"Resolve KS-2085 ""Task/show selected dnd/""",2,Sundar Shahi
True,Fix/deleting member doesnot reflect in sidebar/ ks-2087,1,Ritesh  Sainju
True,Develop,4,Pravesh Chapagain
True,Hotfix/fetch channels from seprate query,3,Ritesh  Sainju
True,QA build latest,33,[]
True,Develop,33,[]
True,save channel order in DB,1,Ritesh  Sainju
True,"Resolve KS-2138 ""Fix/reconnect ws on workspace switch/""",2,Sundar Shahi
True,refine refactor card form,1,Sundar Shahi
True,Task/rearrange workspace api integration,4,[]
True,Develop,21,Parzival
True,Config/cache busting and webpack config,8,Ritesh  Sainju
True,validate field length,1,[]
True,Feature/auto reply,4,Sundar Shahi
True,"Resolve KS-2081 ""Task/new design greetings/""",4,Abin Khatiwada
True,Develop,23,[]
True,fix remove number from cart,1,Ritesh  Sainju
True,Feature/greetings upload,10,Ritesh  Sainju
True,Feature/greetings upload,7,[]
True,Task/design for invalid invitation,2,Ritesh  Sainju
True,"Resolve KS-2072 ""Task/implement drag n drop lib/""",6,Ritesh  Sainju
True,Develop,3,[]
True,"Resolve KS-2076 ""Task/show memberinfo memberchat topbar/""",2,Abin Khatiwada
True,Develop,2,[]
True,replace dummy data with real data in member chat topbar,1,[]
True,Hotfix/rename styles,1,[]
True,Develop-deploy-15-07-2021,61,Pravesh Chapagain
True,fix broken files,1,[]
True,add unique key in map,1,Ritesh  Sainju
True,removed unused component,1,[]
True,"Resolve KS-2068 ""Refactor/contact member detail/""",3,Sundar Shahi
True,"Resolve KS-2064 ""Refactor/conversation ui/""",4,Ritesh  Sainju
True,Hotfix/14 07 2021,2,Ritesh  Sainju
True,"Resolve KS-1833 ""Feature/number delete/""",5,Sundar Shahi
True,"update spacing, refine conversation ui",1,Ritesh  Sainju
True,"Resolve KS-2036 ""Task/member chat topbar update refactor/""",6,Ritesh  Sainju
True,fix: KS-2034,3,Tashi Lama
True,Fix/no permission data after tab change,4,Ritesh  Sainju
True,refactor number and user price fetching,3,[]
True,"Resolve KS-1962 ""Task/draggable ordering numbers/""",3,Ritesh  Sainju
True,add drag n drop to order workspace item,1,Sundar Shahi
True,"Resolve KS-1843 ""Feature/view profile pic/""",4,Ritesh  Sainju
True,Task/responsive ui callbox update/ks code,3,Sundar Shahi
True,Deploy latest,0,[]
True,Latest deploy,20,[]
True,Hotfix/callstatus navbar search,3,Sundar Shahi
True,Refactor/number purchase requirements,3,Ritesh  Sainju
True,"Resolve KS-1909 ""Bugfix/widget unclickable issue/""",2,Ritesh  Sainju
True,Feature/add card on register,5,Sundar Shahi
True,"Resolve KS-1881 ""Bug/fix voicemail duration/""",2,Ritesh  Sainju
True,Latest deploy,8,[]
True,Hotfix/memeber msg seen count reset,5,[]
True,Refactor/template,1,[]
True,Latest QA Build,22,[]
True,Task/download invoice,2,Ritesh  Sainju
True,"Resolve KS-1892 ""Task/api integration member chat seen/""",2,[]
True,show notfound image for search text in nav bar,1,[]
True,"Resolve KS-295 ""Feature/navigation search/""",7,Abin Khatiwada
True,make call filter menu clickable for smaller resolution,1,[]
True,Latest frontend deploy,18,[]
True,invoice template,3,Tashi Lama
True,"Resolve KS-1780 ""Task/callbox responsive tablet/""",3,Sundar Shahi
True,"Resolve KS-1896 ""Task/allow newline chatbox input/""",5,[]
True,Refactor/number purchase,7,Ritesh  Sainju
True,Latest QA build,48,[]
True,Hotfix/cleanup contact selected row on unmount,3,[]
True,fix client name and profile pic of unknown,1,Ritesh  Sainju
True,Task/change clientdnd payload,2,Sundar Shahi
True,Hotfix/permission refetch,2,[]
True,"Resolve KS-1882 ""Task/create card detail page/""",2,Abin Khatiwada
True,Hotfix/permission refetch,2,Sundar Shahi
True,"Resolve KS-1596 ""Feature/unseen badge count memberchat/""",4,Abin Khatiwada
True,"Resolve KS-1889 ""Task/show activechannel data in responsive callbox/""",2,Abin Khatiwada
True,"Resolve KS-1701 ""Feature/receipts/""",10,Ritesh  Sainju
True,"Resolve KS-1779 ""Task/callbox responsive ui w992/""",6,Sundar Shahi
True,"Resolve KS-1446 ""Hotfix/client dnd/""",3,Sundar Shahi
True,Merging and deploying,36,[]
True,show missed call with voicemail in call filter,1,Sundar Shahi
True,Feature/chat scroll,2,Abin Khatiwada
True,Hotfixes/7 5 2021,6,Ritesh  Sainju
True,resolved issue for selected contacts text in contacts table on delete,1,[]
True,add copy email feature in team members list and member detail page,2,[]
True,Feature/chat scroll,7,Ritesh  Sainju
True,Hotfix/destroy twilio device on worksapce change,3,Sundar Shahi
True,Refactor/authorization,5,Ritesh  Sainju
True,Latest changes,0,[]
True,Develop,33,[]
True,Hotfix/access management,2,Sundar Shahi
True,Feature/contact search,2,Ritesh  Sainju
True,Feature/show toast for blocked contact while calling from dialer,4,Ritesh  Sainju
True,"Resolve KS-1445 ""Feature/team members list/""",21,[]
True,"Resolve KS-1778 ""Task/callbox responsive ui desktop/""",6,Sundar Shahi
True,Merging with Develop,71,[]
True,Hotfix/july 01 bugs,2,[]
True,Feature/contact search,3,Ritesh  Sainju
True,Refactor/twilio device setup,3,Sundar Shahi
True,Task/components for reset password from member list,3,[]
True,"Resolve KS-1787 ""Task/ui one user login/""",3,Sundar Shahi
True,Refactor/billing info auto recharge,2,[]
True,ui for missed voice mail,1,Ritesh  Sainju
True,"Resolve KS-1758 ""Bug/unselect table rows on contact import/""",2,[]
True,"Resolve KS-1784 ""Task/reuse design in greetings/""",1,Abin Khatiwada
True,"Resolve KS-1769 ""Task/ui greetings custom recording/""",2,Abin Khatiwada
True,"Resolve KS-1623 ""Feature/delete pending invitation/""",2,Ritesh  Sainju
True,Code Cleanup,2,Ritesh  Sainju
True,"Resolve KS-1760 ""Refine/ui greetings welcome/""",3,Abin Khatiwada
True,Feature/seen message(Update Badge Count),7,Ritesh  Sainju
True,Hotfix/6 29 2021,3,Ritesh  Sainju
True,Feature/contact search,2,Ritesh  Sainju
True,typo fix for client dnd success msg,1,[]
True,Develop,11,[]
True,"Resolve KS-1738 ""Task/ui greetings welcome/""",2,Abin Khatiwada
True,API end point changed on conversation search,1,Ritesh  Sainju
True,chat head highlighter reset in 1 seconds,1,[]
True,Feature/contact search,3,Sundar Shahi
True,Bugs/6 28 2021/fix,2,Ritesh  Sainju
True,Develop,5,[]
True,"Resolve KS-1751 ""Feature/contactlist more option/""",2,Ritesh  Sainju
True,fixed error for archive filter and make dropdwon menu visible even aftar menu item is clicked,1,Sundar Shahi
True,Develop,56,[]
True,Feature/dnd for client,9,Sundar Shahi
True,Hotfix/plan new design for custom plan,3,Ritesh  Sainju
True,Task/archive filter conversationbox/ks1438,2,[]
True,Feature/conversation search bugfix,6,Ritesh  Sainju
True,"Resolve KS-1682 ""Task/new ui settings notification/""",2,Ritesh  Sainju
True,Hotfixes/june 25,2,[]
True,"Resolve KS-1671 ""Task/member chat avatar/""",4,Ritesh  Sainju
True,Refactor/6 24 2021,3,Ritesh  Sainju
True,Refactor/search number and workspaces delete,7,Ritesh  Sainju
True,"Resolve KS-1438 ""Feature/conversation filter/""",8,Sundar Shahi
True,Develop,33,[]
True,"Resolve KS-1667 ""Task/add member team auth/""",3,Abin Khatiwada
True,"avatar sizing, avatar placeholder refactor",1,Abin Khatiwada
True,Refactor/change plan,7,Ritesh  Sainju
True,Feature/conversation search bugfix,3,Ritesh  Sainju
True,Bug/show active workspace on login,2,Sundar Shahi
True,update filer buttons ui,1,Ritesh  Sainju
True,Feature/conversation search bugfix,4,[]
True,"Resolve KS-1640 ""Task/ui pinned message/""",1,Abin Khatiwada
True,Develop,69,[]
True,"Resolve KS-1646 ""Task/add close in drawer/""",2,Abin Khatiwada
True,Refactor/workspace delete,5,Ritesh  Sainju
True,Hotfix/import customavatar in topbar,3,Sundar Shahi
True,"Resolve KS-1643 ""Feature/audio player multi transfer call/""",2,Sundar Shahi
True,"Resolve KS-1627 ""Task/audio player speed/""",2,Ritesh  Sainju
True,Feature/conversation search bugfix,21,Ritesh  Sainju
True,Task/generate new token for fcm on new login,2,Sundar Shahi
True,"Resolve KS-1615 ""Task/ui change plan/""",3,Sundar Shahi
True,Refactor/settings member/new changes,5,Ritesh  Sainju
True,Qa,372,[]
True,import csv feature if contacts  empty,3,Abin Khatiwada
True,"Resolve KS-1562 ""Task/ui conversation search/""",3,Ritesh  Sainju
True,"Resolve KS-1470 ""Feature/restore workspace/""",9,Ritesh  Sainju
True,api integration for call cancel,1,Sundar Shahi
True,"Resolve KS-1562 ""Task/ui conversation search/""",5,Abin Khatiwada
True,Task/show desktop notification on tab active,2,[]
True,Develop,3,[]
True,implemented send digit feature from dialpad,2,Sundar Shahi
True,Draft: Develop,0,[]
True,Latest dev changes,9,[]
True,changed firebase config,1,Sundar Shahi
True,Bug/add contact profile pic issues,2,Sundar Shahi
True,Develop,58,Pravesh Chapagain
True,"Resolve KS-1543 ""Feature/play single audio in chat/""",3,Abin Khatiwada
True,"Resolve KS-1275 ""Feature/cancel subscription/""",5,Ritesh  Sainju
True,"Resolve KS-1552 ""Task/member chat fixes/""",3,Sundar Shahi
True,qa pipeline trigger removed,1,[]
True,Refactor/fixes and refinement,5,Ritesh  Sainju
True,"Resolve KS-1473 ""Feature/purchase credit/""",7,Abin Khatiwada
True,refine refactor dnd for client,1,Sundar Shahi
True,Develop,287,[]
True,"Resolve KS-1241 ""Feature/desktop notification/""",9,[]
True,Hotfix/bugs,4,Ritesh  Sainju
True,"Resolve KS-1420 ""Task/update number sharing/""",4,Ritesh  Sainju
True,"Resolve KS-1457 ""Task/ui chat filter/""",3,Sundar Shahi
True,Qa merge request,1,[]
True,Feature/change plan and fetch billing info,5,Ritesh  Sainju
True,Testing qa pipeline,15,[]
True,Staging,10,[]
True,Develop,9,[]
True,Feature/notification auto recharge in billing,4,Ritesh  Sainju
True,Feature/member to member chat,11,Sundar Shahi
True,Merge request test,1,[]
True,Bug/fixes,4,Ritesh  Sainju
True,"Resolve KS-191 ""Feature/delete workspace/""",8,Ritesh  Sainju
True,Staging,3,[]
True,Develop,2,[]
True,Feature/billing overview,4,Ritesh  Sainju
True,Develop,22,[]
True,"disable calling others if widget is still on, refine disabled styles",1,Ritesh  Sainju
True,fix multiple contacts selection overflow on pagination,1,Sundar Shahi
True,Task/handle unknown contact agents,11,Sundar Shahi
True,"Resolve KS-1389 ""Task/ui refining contactlist/""",1,Sundar Shahi
True,"Resolve KRISP-1390 ""Feature/search agents from api in share access/""",2,Ritesh  Sainju
True,"fix name display logic, design issues",1,Ritesh  Sainju
True,refine reply with text,1,Ritesh  Sainju
True,"Resolve KS-1381 ""Refactor/chat number sharing/""",3,Sundar Shahi
True,refactor shared access and number settings,2,Ritesh  Sainju
True,Develop,22,[]
True,"Resolve KS-1310 ""Task/ui number sharing agents/""",3,Ritesh  Sainju
True,fix codegen generate,1,Ritesh  Sainju
True,Feature/access management,9,[]
True,"Resolve KS-1308 ""Feature/reply text call widget/""",5,Sundar Shahi
True,"Resolve KS-1366 ""Refactor/csv import/""",2,Ritesh  Sainju
True,fix: [BUG] restricted to create empty tag shown error toast,1,Ritesh  Sainju
True,hide Incoming call strategy for Member's view,1,Abin Khatiwada
True,fix flickering issue in widget,1,Ritesh  Sainju
True,Develop,4,[]
True,fetched card bran from api,1,Ritesh  Sainju
True,Changes made for Number sharing,3,Sundar Shahi
True,Merge Develop to Staging,20,[]
True,"Resolve KS-1307 ""Task/import csv contact integration/""",2,Sundar Shahi
True,"Resolve KS-1350 ""Task/ui settings refine refactor/""",9,Sundar Shahi
True,Feature/setup stripe sdk and Payment flow,15,Ritesh  Sainju
True,"Resolve KS-1343 ""Task/new ui billings/""",4,Sundar Shahi
True,Feature/fetch plans from api,2,Ritesh  Sainju
True,"Resolve KS-1342 ""Task/ui auto reply settings/""",2,Sundar Shahi
True,merge Develop in staging,26,[]
True,Task/handle case for international calls,5,Sundar Shahi
True,Bugs/hot fixes,2,Ritesh  Sainju
True,Feature/authorization,17,Ritesh  Sainju
True,new ui implementation csv,1,Ritesh  Sainju
True,Feature/access management,2,[]
True,"Resolve KS-1326 ""Task/refine contact detail pp/""",2,Sundar Shahi
True,merge develop code in staging,42,[]
True,Feature/access management,6,Tashi Lama
True,Task/call recording fixes,3,Sundar Shahi
True,update sideworkspacebar with member view,1,Abin Khatiwada
